table_schema,table_name
auth,audit_log_entries
auth,custom_oauth_providers
auth,flow_state
auth,identities
auth,instances
auth,mfa_amr_claims
auth,mfa_challenges
auth,mfa_factors
auth,oauth_authorizations
auth,oauth_client_states
auth,oauth_clients
auth,oauth_consents
auth,one_time_tokens
auth,refresh_tokens
auth,saml_providers
auth,saml_relay_states
auth,schema_migrations
auth,sessions
auth,sso_domains
auth,sso_providers
auth,users
auth,webauthn_challenges
auth,webauthn_credentials
public,content_pieces
public,infografias
public,retos_insignia
public,subpilar_mapeo
public,video_bloques
public,videos
realtime,messages
realtime,schema_migrations
realtime,subscription
storage,buckets
storage,buckets_analytics
storage,buckets_vectors
storage,migrations
storage,objects
storage,s3_multipart_uploads
storage,s3_multipart_uploads_parts
storage,vector_indexes
supabase_migrations,schema_migrations
vault,secrets
